1024
463, 527, 494, 496
32, 1, 159
33, 0, 2, 688
34, 1, 3, 795
35, 2, 4, 204
36, 3, 5, 496
37, 4, 6, 916
38, 5, 7, 144
39, 6, 8, 427
40, 7, 9, 192
41, 8, 10, 225
42, 9, 11, 550
43, 10, 12, 776
44, 11, 13, 452
45, 12, 14, 394
46, 13, 15, 699
47, 14, 16, 184
48, 15, 17, 447
49, 16, 18, 307
50, 17, 19, 806
51, 18, 20, 560
52, 19, 21, 623
53, 20, 22, 291
54, 21, 23, 44
55, 22, 24, 926
56, 23, 25, 23
57, 24, 26, 343
58, 25, 27, 46
59, 26, 28, 161
60, 27, 29, 93
61, 28, 30, 977
62, 29, 31, 323
63, 30, 240
0, 64, 33, 861
111, 175, 142, 144, 828
112, 176, 143, 145, 714
113, 177, 144, 146, 695
114, 178, 145, 147, 851
115, 179, 146, 148, 300
116, 180, 147, 149, 1013
117, 181, 148, 150, 722
118, 182, 149, 151, 430
119, 183, 150, 152, 295
120, 184, 151, 153, 461
121, 185, 152, 154, 729
122, 186, 153, 155, 599
123, 187, 154, 156, 767
124, 188, 155, 157, 356
125, 189, 156, 158, 781
126, 190, 157, 159, 633
127, 191, 158, 228
128, 192, 161, 771
129, 193, 160, 162, 954
130, 194, 161, 163, 532
131, 195, 162, 164, 892
132, 196, 163, 165, 834
133, 197, 164, 166, 275
134, 198, 165, 167, 456
135, 199, 166, 168, 534
136, 200, 167, 169, 945
137, 201, 168, 170, 321
138, 202, 169, 171, 859
139, 203, 170, 172, 374
140, 204, 171, 173, 90
141, 205, 172, 174, 321
142, 206, 173, 175, 104
143, 207, 174, 176, 121
144, 208, 175, 177, 831
145, 209, 176, 178, 373
146, 210, 177, 179, 844
147, 211, 178, 180, 926
148, 212, 179, 181, 150
149, 213, 180, 182, 270
150, 214, 181, 183, 512
151, 215, 182, 184, 623
152, 216, 183, 185, 902
153, 217, 184, 186, 11
154, 218, 185, 187, 126
155, 219, 186, 188, 137
156, 220, 187, 189, 37
157, 221, 188, 190, 583
158, 222, 189, 191, 94
159, 223, 190, 319
160, 224, 193, 742
161, 225, 192, 194, 383
162, 226, 193, 195, 316
163, 227, 194, 196, 623
164, 228, 195, 197, 727
165, 229, 196, 198, 29
166, 230, 197, 199, 691
167, 231, 198, 200, 465
168, 232, 199, 201, 654
169, 233, 200, 202, 918
170, 234, 201, 203, 221
171, 235, 202, 204, 62
172, 236, 203, 205, 633
173, 237, 204, 206, 426
174, 238, 205, 207, 388
175, 239, 206, 208, 535
176, 240, 207, 209, 800
177, 241, 208, 210, 809
178, 242, 209, 211, 789
179, 243, 210, 212, 956
180, 244, 211, 213, 968
181, 245, 212, 214, 343
182, 246, 213, 215, 807
183, 247, 214, 216, 177
184, 248, 215, 217, 99
185, 249, 216, 218, 567
186, 250, 217, 219, 784
187, 251, 218, 220, 959
188, 252, 219, 221, 733
189, 253, 220, 222, 690
190, 254, 221, 223, 658
191, 255, 222, 560
192, 256, 225, 279
193, 257, 224, 226, 114
194, 258, 225, 227, 676
195, 259, 226, 228, 934
196, 260, 227, 229, 72
197, 261, 228, 230, 67
198, 262, 229, 231, 321
199, 263, 230, 232, 7
200, 264, 231, 233, 674
201, 265, 232, 234, 437
202, 266, 233, 235, 867
203, 267, 234, 236, 889
204, 268, 235, 237, 375
205, 269, 236, 238, 614
206, 270, 237, 239, 83
207, 271, 238, 240, 50
208, 272, 239, 241, 148
209, 273, 240, 242, 182
210, 274, 241, 243, 364
211, 275, 242, 244, 1000
212, 276, 243, 245, 736
213, 277, 244, 246, 406
214, 278, 245, 247, 207
215, 279, 246, 248, 823
216, 280, 247, 249, 40
217, 281, 248, 250, 606
218, 282, 249, 251, 468
219, 283, 250, 252, 232
220, 284, 251, 253, 567
221, 285, 252, 254, 429
222, 286, 253, 255, 875
223, 287, 254, 288
224, 288, 257, 65
225, 289, 256, 258, 878
226, 290, 257, 259, 151
227, 291, 258, 260, 430
228, 292, 259, 261, 996
229, 293, 260, 262, 65
230, 294, 261, 263, 54
231, 295, 262, 264, 82
232, 296, 263, 265, 752
233, 297, 264, 266, 982
234, 298, 265, 267, 454
235, 299, 266, 268, 578
236, 300, 267, 269, 199
237, 301, 268, 270, 523
238, 302, 269, 271, 192
239, 303, 270, 272, 343
240, 304, 271, 273, 662
241, 305, 272, 274, 286
242, 306, 273, 275, 366
243, 307, 274, 276, 649
244, 308, 275, 277, 86
245, 309, 276, 278, 753
246, 310, 277, 279, 233
247, 311, 278, 280, 735
248, 312, 279, 281, 204
249, 313, 280, 282, 91
250, 314, 281, 283, 787
251, 315, 282, 284, 666
252, 316, 283, 285, 164
253, 317, 284, 286, 755
254, 318, 285, 287, 769
255, 319, 286, 694
256, 320, 289, 431
257, 321, 288, 290, 362
258, 322, 289, 291, 750
259, 323, 290, 292, 299
260, 324, 291, 293, 682
261, 325, 292, 294, 738
262, 326, 293, 295, 899
263, 327, 294, 296, 432
264, 328, 295, 297, 35
265, 329, 296, 298, 410
266, 330, 297, 299, 901
267, 331, 298, 300, 837
268, 332, 299, 301, 894
269, 333, 300, 302, 413
270, 334, 301, 303, 321
271, 335, 302, 304, 542
272, 336, 303, 305, 658
273, 337, 304, 306, 770
274, 338, 305, 307, 912
275, 339, 306, 308, 967
276, 340, 307, 309, 457
277, 341, 308, 310, 102
278, 342, 309, 311, 215
279, 343, 310, 312, 131
280, 344, 311, 313, 0
281, 345, 312, 314, 203
282, 346, 313, 315, 270
283, 347, 314, 316, 147
284, 348, 315, 317, 793
285, 349, 316, 318, 345
286, 350, 317, 319, 69
287, 351, 318, 476
288, 352, 321, 237
289, 353, 320, 322, 325
290, 354, 321, 323, 916
291, 355, 322, 324, 677
292, 356, 323, 325, 239
293, 357, 324, 326, 698
294, 358, 325, 327, 411
295, 359, 326, 328, 1004
296, 360, 327, 329, 138
297, 361, 328, 330, 441
298, 362, 329, 331, 92
299, 363, 330, 332, 93
300, 364, 331, 333, 304
301, 365, 332, 334, 242
302, 366, 333, 335, 529
303, 367, 334, 336, 943
304, 368, 335, 337, 275
305, 369, 336, 338, 884
306, 370, 337, 339, 922
307, 371, 338, 340, 34
308, 372, 339, 341, 672
309, 373, 340, 342, 621
310, 374, 341, 343, 928
311, 375, 342, 344, 157
312, 376, 343, 345, 745
313, 377, 344, 346, 491
314, 378, 345, 347, 538
315, 379, 346, 348, 124
316, 380, 347, 349, 850
317, 381, 348, 350, 174
318, 382, 349, 351, 823
319, 383, 350, 850
320, 384, 353, 388
321, 385, 352, 354, 144
322, 386, 353, 355, 404
323, 387, 354, 356, 61
324, 388, 355, 357, 546
325, 389, 356, 358, 240
326, 390, 357, 359, 147
327, 391, 358, 360, 696
328, 392, 359, 361, 921
329, 393, 360, 362, 889
330, 394, 361, 363, 536
331, 395, 362, 364, 359
332, 396, 363, 365, 574
333, 397, 364, 366, 661
334, 398, 365, 367, 620
335, 399, 366, 368, 302
336, 400, 367, 369, 1012
337, 401, 368, 370, 474
338, 402, 369, 371, 492
339, 403, 370, 372, 963
340, 404, 371, 373, 238
341, 405, 372, 374, 561
342, 406, 373, 375, 572
343, 407, 374, 376, 462
344, 408, 375, 377, 997
345, 409, 376, 378, 1012
346, 410, 377, 379, 878
347, 411, 378, 380, 862
348, 412, 379, 381, 702
349, 413, 380, 382, 594
350, 414, 381, 383, 463
351, 415, 382, 137
352, 416, 385, 834
353, 417, 384, 386, 847
354, 418, 385, 387, 882
355, 419, 386, 388, 598
356, 420, 387, 389, 1005
357, 421, 388, 390, 41
358, 422, 389, 391, 233
359, 423, 390, 392, 395
360, 424, 391, 393, 208
361, 425, 392, 394, 59
362, 426, 393, 395, 892
363, 427, 394, 396, 49
364, 428, 395, 397, 536
365, 429, 396, 398, 343
366, 430, 397, 399, 451
367, 431, 398, 400, 241
368, 432, 399, 401, 937
369, 433, 400, 402, 386
370, 434, 401, 403, 150
371, 435, 402, 404, 288
372, 436, 403, 405, 391
373, 437, 404, 406, 940
374, 438, 405, 407, 172
375, 439, 406, 408, 239
376, 440, 407, 409, 814
377, 441, 408, 410, 616
378, 442, 409, 411, 909
379, 443, 410, 412, 576
380, 444, 411, 413, 414
381, 445, 412, 414, 216
382, 446, 413, 415, 947
383, 447, 414, 821
384, 448, 417, 358
385, 449, 416, 418, 276
386, 450, 417, 419, 526
387, 451, 418, 420, 133
388, 452, 419, 421, 637
389, 453, 420, 422, 1010
390, 454, 421, 423, 803
391, 455, 422, 424, 636
392, 456, 423, 425, 558
393, 457, 424, 426, 1006
394, 458, 425, 427, 974
395, 459, 426, 428, 778
396, 460, 427, 429, 565
397, 461, 428, 430, 622
398, 462, 429, 431, 326
399, 463, 430, 432, 448
400, 464, 431, 433, 250
401, 465, 432, 434, 829
402, 466, 433, 435, 878
403, 467, 434, 436, 735
404, 468, 435, 437, 160
405, 469, 436, 438, 550
406, 470, 437, 439, 200
407, 471, 438, 440, 98
408, 472, 439, 441, 891
409, 473, 440, 442, 703
410, 474, 441, 443, 475
411, 475, 442, 444, 312
412, 476, 443, 445, 714
413, 477, 444, 446, 705
414, 478, 445, 447, 557
415, 479, 446, 494
416, 480, 449, 618
417, 481, 448, 450, 304
418, 482, 449, 451, 338
419, 483, 450, 452, 62
420, 484, 451, 453, 353
421, 485, 452, 454, 813
422, 486, 453, 455, 50
423, 487, 454, 456, 105
424, 488, 455, 457, 208
425, 489, 456, 458, 788
426, 490, 457, 459, 621
427, 491, 458, 460, 143
428, 492, 459, 461, 64
429, 493, 460, 462, 9
430, 494, 461, 463, 721
431, 495, 462, 464, 264
432, 496, 463, 465, 284
433, 497, 464, 466, 768
434, 498, 465, 467, 106
435, 499, 466, 468, 998
436, 500, 467, 469, 380
437, 501, 468, 470, 547
438, 502, 469, 471, 383
439, 503, 470, 472, 808
440, 504, 471, 473, 910
441, 505, 472, 474, 763
442, 506, 473, 475, 232
443, 507, 474, 476, 776
444, 508, 475, 477, 931
445, 509, 476, 478, 226
446, 510, 477, 479, 251
447, 511, 478, 281
448, 512, 481, 256
449, 513, 480, 482, 534
450, 514, 481, 483, 955
451, 515, 482, 484, 369
452, 516, 483, 485, 160
453, 517, 484, 486, 950
454, 518, 485, 487, 64
455, 519, 486, 488, 525
456, 520, 487, 489, 856
457, 521, 488, 490, 807
458, 522, 489, 491, 936
459, 523, 490, 492, 293
460, 524, 491, 493, 834
461, 525, 492, 494, 462
462, 526, 493, 495, 759
463, 527, 494, 496, 107
464, 528, 495, 497, 470
465, 529, 496, 498, 760
466, 530, 497, 499, 69
467, 531, 498, 500, 817
468, 532, 499, 501, 143
469, 533, 500, 502, 287
470, 534, 501, 503, 950
471, 535, 502, 504, 632
472, 536, 503, 505, 842
473, 537, 504, 506, 831
474, 538, 505, 507, 692
475, 539, 506, 508, 236
476, 540, 507, 509, 213
477, 541, 508, 510, 504
478, 542, 509, 511, 927
479, 543, 510, 634
480, 544, 513, 850
481, 545, 512, 514, 66
482, 546, 513, 515, 631
483, 547, 514, 516, 322
484, 548, 515, 517, 490
485, 549, 516, 518, 1016
486, 550, 517, 519, 188
487, 551, 518, 520, 468
488, 552, 519, 521, 53
489, 553, 520, 522, 83
490, 554, 521, 523, 402
491, 555, 522, 524, 769
492, 556, 523, 525, 894
493, 557, 524, 526, 526
494, 558, 525, 527, 825
495, 559, 526, 528, 853
496, 560, 527, 529, 827
497, 561, 528, 530, 3
498, 562, 529, 531, 31
499, 563, 530, 532, 427
500, 564, 531, 533, 839
501, 565, 532, 534, 854
502, 566, 533, 535, 419
503, 567, 534, 536, 252
504, 568, 535, 537, 801
505, 569, 536, 538, 353
506, 570, 537, 539, 655
507, 571, 538, 540, 371
508, 572, 539, 541, 570
509, 573, 540, 542, 351
510, 574, 541, 543, 270
511, 575, 542, 250
512, 576, 545, 958
513, 577, 544, 546, 558
514, 578, 545, 547, 923
515, 579, 546, 548, 364
516, 580, 547, 549, 532
517, 581, 548, 550, 210
518, 582, 549, 551, 316
519, 583, 550, 552, 10
520, 584, 551, 553, 633
521, 585, 552, 554, 598
522, 586, 553, 555, 383
523, 587, 554, 556, 66
524, 588, 555, 557, 223
525, 589, 556, 558, 735
526, 590, 557, 559, 141
527, 591, 558, 560, 208
528, 592, 559, 561, 862
529, 593, 560, 562, 896
530, 594, 561, 563, 821
531, 595, 562, 564, 509
532, 596, 563, 565, 898
533, 597, 564, 566, 1021
534, 598, 565, 567, 264
535, 599, 566, 568, 668
536, 600, 567, 569, 334
537, 601, 568, 570, 173
538, 602, 569, 571, 1023
539, 603, 570, 572, 591
540, 604, 571, 573, 527
541, 605, 572, 574, 397
542, 606, 573, 575, 49
543, 607, 574, 721
544, 608, 577, 894
545, 609, 576, 578, 904
546, 610, 577, 579, 764
547, 611, 578, 580, 504
548, 612, 579, 581, 598
549, 613, 580, 582, 680
550, 614, 581, 583, 124
551, 615, 582, 584, 600
552, 616, 583, 585, 966
553, 617, 584, 586, 272
554, 618, 585, 587, 656
555, 619, 586, 588, 375
556, 620, 587, 589, 376
557, 621, 588, 590, 175
558, 622, 589, 591, 231
559, 623, 590, 592, 856
560, 624, 591, 593, 942
561, 625, 592, 594, 785
562, 626, 593, 595, 783
563, 627, 594, 596, 29
564, 628, 595, 597, 150
565, 629, 596, 598, 867
566, 630, 597, 599, 137
567, 631, 598, 600, 1018
568, 632, 599, 601, 808
569, 633, 600, 602, 558
570, 634, 601, 603, 616
571, 635, 602, 604, 975
572, 636, 603, 605, 473
573, 637, 604, 606, 913
574, 638, 605, 607, 507
575, 639, 606, 330
576, 640, 609, 779
577, 641, 608, 610, 221
578, 642, 609, 611, 565
579, 643, 610, 612, 655
580, 644, 611, 613, 101
581, 645, 612, 614, 1014
582, 646, 613, 615, 931
583, 647, 614, 616, 841
584, 648, 615, 617, 662
585, 649, 616, 618, 1017
586, 650, 617, 619, 255
587, 651, 618, 620, 848
588, 652, 619, 621, 971
589, 653, 620, 622, 216
590, 654, 621, 623, 843
591, 655, 622, 624, 931
592, 656, 623, 625, 59
593, 657, 624, 626, 594
594, 658, 625, 627, 356
595, 659, 626, 628, 369
596, 660, 627, 629, 557
597, 661, 628, 630, 334
598, 662, 629, 631, 803
599, 663, 630, 632, 346
600, 664, 631, 633, 685
601, 665, 632, 634, 796
602, 666, 633, 635, 769
603, 667, 634, 636, 377
604, 668, 635, 637, 855
605, 669, 636, 638, 359
606, 670, 637, 639, 66
607, 671, 638, 857
608, 672, 641, 127
609, 673, 640, 642, 499
610, 674, 641, 643, 386
611, 675, 642, 644, 25
612, 676, 643, 645, 726
613, 677, 644, 646, 413
614, 678, 645, 647, 305
615, 679, 646, 648, 826
616, 680, 647, 649, 689
617, 681, 648, 650, 837
618, 682, 649, 651, 402
619, 683, 650, 652, 769
620, 684, 651, 653, 455
621, 685, 652, 654, 1001
622, 686, 653, 655, 184
623, 687, 654, 656, 341
624, 688, 655, 657, 766
625, 689, 656, 658, 24
626, 690, 657, 659, 927
627, 691, 658, 660, 407
628, 692, 659, 661, 433
629, 693, 660, 662, 418
630, 694, 661, 663, 801
631, 695, 662, 664, 865
632, 696, 663, 665, 329
633, 697, 664, 666, 485
634, 698, 665, 667, 154
635, 699, 666, 668, 509
636, 700, 667, 669, 202
637, 701, 668, 670, 828
638, 702, 669, 671, 594
639, 703, 670, 580
640, 704, 673, 347
641, 705, 672, 674, 871
642, 706, 673, 675, 0
643, 707, 674, 676, 230
644, 708, 675, 677, 321
645, 709, 676, 678, 94
646, 710, 677, 679, 39
647, 711, 678, 680, 695
648, 712, 679, 681, 425
649, 713, 680, 682, 652
650, 714, 681, 683, 281
651, 715, 682, 684, 412
652, 716, 683, 685, 209
653, 717, 684, 686, 1003
654, 718, 685, 687, 708
655, 719, 686, 688, 118
656, 720, 687, 689, 476
657, 721, 688, 690, 738
658, 722, 689, 691, 243
659, 723, 690, 692, 367
660, 724, 691, 693, 296
661, 725, 692, 694, 122
662, 726, 693, 695, 644
663, 727, 694, 696, 331
664, 728, 695, 697, 683
665, 729, 696, 698, 270
666, 730, 697, 699, 125
667, 731, 698, 700, 142
668, 732, 699, 701, 264
669, 733, 700, 702, 878
670, 734, 701, 703, 787
671, 735, 702, 809
672, 736, 705, 699
673, 737, 704, 706, 142
674, 738, 705, 707, 39
675, 739, 706, 708, 546
676, 740, 707, 709, 114
677, 741, 708, 710, 152
678, 742, 709, 711, 257
679, 743, 710, 712, 48
680, 744, 711, 713, 493
681, 745, 712, 714, 6
682, 746, 713, 715, 766
683, 747, 714, 716, 362
684, 748, 715, 717, 717
685, 749, 716, 718, 627
686, 750, 717, 719, 16
687, 751, 718, 720, 945
688, 752, 719, 721, 633
689, 753, 720, 722, 832
690, 754, 721, 723, 18
691, 755, 722, 724, 9
692, 756, 723, 725, 7
693, 757, 724, 726, 1002
694, 758, 725, 727, 406
695, 759, 726, 728, 466
696, 760, 727, 729, 274
697, 761, 728, 730, 282
698, 762, 729, 731, 950
699, 763, 730, 732, 460
700, 764, 731, 733, 351
701, 765, 732, 734, 759
702, 766, 733, 735, 959
703, 767, 734, 939
704, 768, 737, 47
705, 769, 736, 738, 241
706, 770, 737, 739, 56
707, 771, 738, 740, 272
708, 772, 739, 741, 96
709, 773, 740, 742, 993
710, 774, 741, 743, 952
711, 775, 742, 744, 670
712, 776, 743, 745, 105
713, 777, 744, 746, 899
714, 778, 745, 747, 557
715, 779, 746, 748, 520
716, 780, 747, 749, 835
717, 781, 748, 750, 843
718, 782, 749, 751, 510
719, 783, 750, 752, 600
720, 784, 751, 753, 202
721, 785, 752, 754, 549
722, 786, 753, 755, 320
723, 787, 754, 756, 701
724, 788, 755, 757, 514
725, 789, 756, 758, 698
726, 790, 757, 759, 436
727, 791, 758, 760, 776
728, 792, 759, 761, 10
729, 793, 760, 762, 141
730, 794, 761, 763, 132
731, 795, 762, 764, 861
732, 796, 763, 765, 327
733, 797, 764, 766, 149
734, 798, 765, 767, 21
735, 799, 766, 534
736, 800, 769, 28
737, 801, 768, 770, 335
738, 802, 769, 771, 1004
739, 803, 770, 772, 211
740, 804, 771, 773, 960
741, 805, 772, 774, 484
742, 806, 773, 775, 340
743, 807, 774, 776, 898
744, 808, 775, 777, 819
745, 809, 776, 778, 953
746, 810, 777, 779, 809
747, 811, 778, 780, 175
748, 812, 779, 781, 155
749, 813, 780, 782, 765
750, 814, 781, 783, 285
751, 815, 782, 784, 77
752, 816, 783, 785, 852
753, 817, 784, 786, 271
754, 818, 785, 787, 646
755, 819, 786, 788, 415
756, 820, 787, 789, 334
757, 821, 788, 790, 54
758, 822, 789, 791, 23
759, 823, 790, 792, 404
760, 824, 791, 793, 703
761, 825, 792, 794, 23
762, 826, 793, 795, 424
763, 827, 794, 796, 15
764, 828, 795, 797, 103
765, 829, 796, 798, 303
766, 830, 797, 799, 953
767, 831, 798, 944
768, 832, 801, 815
769, 833, 800, 802, 777
770, 834, 801, 803, 812
771, 835, 802, 804, 385
772, 836, 803, 805, 510
773, 837, 804, 806, 60
774, 838, 805, 807, 325
775, 839, 806, 808, 471
776, 840, 807, 809, 570
777, 841, 808, 810, 292
778, 842, 809, 811, 543
779, 843, 810, 812, 908
780, 844, 811, 813, 100
781, 845, 812, 814, 631
782, 846, 813, 815, 615
783, 847, 814, 816, 704
784, 848, 815, 817, 569
785, 849, 816, 818, 988
786, 850, 817, 819, 313
787, 851, 818, 820, 530
788, 852, 819, 821, 960
789, 853, 820, 822, 142
790, 854, 821, 823, 133
791, 855, 822, 824, 956
792, 856, 823, 825, 53
793, 857, 824, 826, 713
794, 858, 825, 827, 199
795, 859, 826, 828, 657
796, 860, 827, 829, 668
797, 861, 828, 830, 870
798, 862, 829, 831, 506
799, 863, 830, 76
800, 864, 833, 760
801, 865, 832, 834, 916
802, 866, 833, 835, 861
803, 867, 834, 836, 791
804, 868, 835, 837, 344
805, 869, 836, 838, 404
806, 870, 837, 839, 354
807, 871, 838, 840, 595
808, 872, 839, 841, 744
809, 873, 840, 842, 589
810, 874, 841, 843, 334
811, 875, 842, 844, 930
812, 876, 843, 845, 778
813, 877, 844, 846, 371
814, 878, 845, 847, 371
815, 879, 846, 848, 975
816, 880, 847, 849, 584
817, 881, 848, 850, 527
818, 882, 849, 851, 875
819, 883, 850, 852, 201
820, 884, 851, 853, 74
821, 885, 852, 854, 77
822, 886, 853, 855, 326
823, 887, 854, 856, 1014
824, 888, 855, 857, 461
825, 889, 856, 858, 895
826, 890, 857, 859, 468
827, 891, 858, 860, 306
828, 892, 859, 861, 807
829, 893, 860, 862, 882
830, 894, 861, 863, 973
831, 895, 862, 969
832, 896, 865, 864
833, 897, 864, 866, 790
834, 898, 865, 867, 356
835, 899, 866, 868, 0
836, 900, 867, 869, 567
837, 901, 868, 870, 397
838, 902, 869, 871, 399
839, 903, 870, 872, 902
840, 904, 871, 873, 67
841, 905, 872, 874, 318
842, 906, 873, 875, 863
843, 907, 874, 876, 379
844, 908, 875, 877, 272
845, 909, 876, 878, 552
846, 910, 877, 879, 494
847, 911, 878, 880, 308
848, 912, 879, 881, 683
849, 913, 880, 882, 230
850, 914, 881, 883, 839
851, 915, 882, 884, 239
852, 916, 883, 885, 939
853, 917, 884, 886, 562
854, 918, 885, 887, 143
855, 919, 886, 888, 613
856, 920, 887, 889, 114
857, 921, 888, 890, 297
858, 922, 889, 891, 883
859, 923, 890, 892, 965
860, 924, 891, 893, 243
861, 925, 892, 894, 876
862, 926, 893, 895, 471
863, 927, 894, 607
864, 928, 897, 86
865, 929, 896, 898, 401
866, 930, 897, 899, 792
867, 931, 898, 900, 842
868, 932, 899, 901, 996
869, 933, 900, 902, 432
870, 934, 901, 903, 649
871, 935, 902, 904, 750
872, 936, 903, 905, 487
873, 937, 904, 906, 586
874, 938, 905, 907, 825
875, 939, 906, 908, 321
876, 940, 907, 909, 86
877, 941, 908, 910, 452
878, 942, 909, 911, 266
879, 943, 910, 912, 863
880, 944, 911, 913, 970
881, 945, 912, 914, 503
882, 946, 913, 915, 503
883, 947, 914, 916, 404
884, 948, 915, 917, 56
885, 949, 916, 918, 608
886, 950, 917, 919, 830
887, 951, 918, 920, 198
888, 952, 919, 921, 492
889, 953, 920, 922, 233
890, 954, 921, 923, 401
891, 955, 922, 924, 741
892, 956, 923, 925, 239
893, 957, 924, 926, 589
894, 958, 925, 927, 126
895, 959, 926, 78
896, 960, 929, 204
897, 961, 928, 930, 838
898, 962, 929, 931, 831
899, 963, 930, 932, 526
900, 964, 931, 933, 647
901, 965, 932, 934, 703
902, 966, 933, 935, 171
903, 967, 934, 936, 708
904, 968, 935, 937, 602
905, 969, 936, 938, 992
906, 970, 937, 939, 860
907, 971, 938, 940, 5
908, 972, 939, 941, 611
909, 973, 940, 942, 84
910, 974, 941, 943, 661
911, 975, 942, 944, 726
912, 976, 943, 945, 263
913, 977, 944, 946, 595
914, 978, 945, 947, 803
915, 979, 946, 948, 23
916, 980, 947, 949, 194
917, 981, 948, 950, 592
918, 982, 949, 951, 36
919, 983, 950, 952, 712
920, 984, 951, 953, 214
921, 985, 952, 954, 338
922, 986, 953, 955, 943
923, 987, 954, 956, 507
924, 988, 955, 957, 64
925, 989, 956, 958, 993
926, 990, 957, 959, 298
927, 991, 958, 412
928, 992, 961, 933
929, 993, 960, 962, 376
930, 994, 961, 963, 203
931, 995, 962, 964, 933
932, 996, 963, 965, 168
933, 997, 964, 966, 770
934, 998, 965, 967, 371
935, 999, 966, 968, 752
936, 1000, 967, 969, 312
937, 1001, 968, 970, 664
938, 1002, 969, 971, 65
939, 1003, 970, 972, 240
940, 1004, 971, 973, 229
941, 1005, 972, 974, 590
942, 1006, 973, 975, 712
943, 1007, 974, 976, 402
944, 1008, 975, 977, 914
945, 1009, 976, 978, 139
946, 1010, 977, 979, 78
947, 1011, 978, 980, 105
948, 1012, 979, 981, 566
949, 1013, 980, 982, 236
950, 1014, 981, 983, 679
951, 1015, 982, 984, 111
952, 1016, 983, 985, 569
953, 1017, 984, 986, 137
954, 1018, 985, 987, 865
955, 1019, 986, 988, 312
956, 1020, 987, 989, 258
